Analista júnior;Dificuldade de crescimento profissional, ou seja, de promoção.
Crm;Gestão direta pouco transparente; quando há saída de colaboradores não há reposição, deixando o restante do time sobrecarregado; modelo 100% presencial por decisão top-down, mesmo gerando lucro líquido recorde na época do modelo híbrido; não há plano de carreira (na teoria tem o PDI, mas certas gestões não lembram da existência desse processo, pois a priorização é bater meta de vendas); reuniões de 1:1 são esporádicas já que as metas da empresa são prioridades; se você está em um cargo x, terá que viver p/ o trabalho na capacidade 150% para ser visto e talvez assim você seja considerado para ganhar um aumento); a impressão que fica é que o ciclo anual de avaliações só serve para calcular o PLR e demitir funcionários, já que as avaliações que fazemos para a gestão não mudam em nada. Várias pessoas saem do Banco Inter em um cargo de baixa senioridade e vão para outras empresas trabalhar em 2 ou 3 cargos acima.
Desenvolver júnior;Apesar do aprendizado e clima amigável, é um lugar para se estagnar. Após 4 anos desde o estágio, ainda estou como junior devido a burocracias internas, mesmo sendo ponto de referência no time e possuindo mais experiência que membros com cargos superiores. Claramente essa mensagem exala presunção, porém pergunte a opinião sobre para um mestre em computação com 20 anos de experiência fichado como desenvolvedor pleno no banco, não deve ser difícil de encontrar. Fora a isso: - Presencial 5 dias na semana sem estrutura. - Jornadas de trabalho além das 8 horas diárias. Em algumas ocasiões você irá trabalhar 16 horas diárias por semana. Mas não se preocupe, o horário é flexível e não adepto ao sistema de bater cartão, você conseguirá um dia de folga. - O vale alimentação é quase 2 mil reais, você poderá utilizar ele todo almoçando na região ao longo do mês, pois não existe copa para esquentar a marmita ou sentar no horário de almoço.
Software developer;Vim de uma grande empresa de tecnologia após a moça do RH agir como se fosse esses vendedores de curso na internet. Prometeu um monte de coisa mas quando entrei, percebi que a coisa era diferente. Poucos dias depois já saquei que as lideranças não gostavam do híbrido e já estavam jogando o pensamento na galera de que mudariam pro presencial. No início do ano foi dito e feito. Todos obrigados a ir 100% presencial. Acontece que o prédio não tem estrutura para tal, filas enormes nos elevadores, não da mais pra tomar café pois o refeitório está sempre lotado e sem nenhuma mesa disponível. Banheiros super pequenos e sempre cheios. Líderes com mentalidade daqueles chefes de chão de fábrica. Tem que chegar antes do chefe, sair depois, virar amiguinho, almoçar junto etc se quiser ter alguma promoção na empresa. Vi muitos colegas de time super qualificados, falando inglês fluente etc e há 3 anos sem qualquer tipo de promoção, enquanto os amiguinho do chefe com 1 ano de empresa já sendo promovidos. Isso acabou me desmotivando, e na primeira oportunidade pulei fora.
Analista sênior;Estrutura excessivamente vertical, não temos clareza sobre nossa própria carreira. Tenho colegas que estão com promoção “prometida” ha mais de ano e enquanto isso vários passam na frente. A volta obrigatória ao presencial é um layoff disfarçado que todo mundo ja sacou o objetivo. A moeda laranja é um mito, ninguém consegue saber a regra e com isso manipulam os valores ao bel prazer da companhia.
Gerente;Tudo! Empresa desumana, não se importam com o bem estar dos funcionários. O RH finge que se importa, porém a falsidade é gigantesca. Exigem 100% presencial e não se importam com a distância para o trabalho. A Assistência médica é péssima, pois a empresa só pensa em economizar e com isso tira tudo que é possível dia funcionários. Se você fizer qualquer reclamação é demitido! O Compliance trata qualquer denúncia com demissão para não precisar avaliar cada caso. Vivem procurando gente pra trabalhar, mas quem conhece a empresa não se arrisca. As pessoas fingem que se gostam, porém está um querendo derrubar o outro e os que vencem são os puxa sacos, pois esses não querem trabalhar e sim "fofocar" de tudo e de todos.
Funcionário(a) sigiloso(a);CLIMA TÓXICO, você precisa ser amigo dos gestores para conseguir algo ou promoção de cargo. Seus próprios colegas de equipe são seus concorrentes e na primeira oportunidade vão puxar seu tapete. Se você não puxar saco das pessoas certas sua carreira não vai evoluir. A luta pelo poder é diária dentro do Inter. RH é totalmente distante dos colaboradores, na prática é como se não tivesse um RH. Não existe um plano de carreira definitivo, em muitas squads os profissionais não sabem como conseguir efetivamente uma promoção. Muitos gestores, ocupam a posição por serem amigos ou familiar de alguém importante. Praticamente o analista só consegue chegar a gestão de puxar o saco de alguém, porque por competência não vai conseguir.
Funcionário(a) sigiloso(a);A empresa é zero diversidade. Líderes são todos brancos, cis, hetero, classe média+ e, em sua maioria, homens. Quer evoluir, puxe saco dos gestores. Não precisa nem fazer seu trabalho bem feito, é só puxar saco mesmo. Vivem tirando benefícios e nunca comunicam direito sobre. Tudo funciona porque o time operacional é explorado de todas as formas possíveis, já que só importa o lucro da empresa. Vendem os benefícios como excelentes, mas só fazem o que é obrigação pelo sindicato.
Desenvolvedor especialista;Nenhuma decisão "top down" tomada desde que entrei no banco foi boa para os funcionários, se é decisão "do banco" pode saber que vai prejudicar alguém, também não vi decisão top down que aumente a produtividade ou a vontade de trabalhar no banco.
Analista de produtos sênior;Até as pessoas que foram contratadas 100% remoto foram obrigadas a trabalhar presencial com risco de demissão.
